	GMP.1	GMP.2	GMP.3	GMP.4	GMP.5	GMP.6	GMP.7	GMP.8	GMP.9	GMP.10	GMP.11	GMP.12	GMP.13	GMP.14	GMP.15	GMP.16	GMP.17	GMP.18	GMP.19	GMP.20	GMP.21	GMP.22	GMP.23	GMP.24	GMP.25	GMP.26	GMP.27	GMP.28	GMP.29	GMP.30	GMP.31	GMP.32	GMP.33	GMP.34	GMP.35	GMP.36	GMP.37	GMP.38	GMP.39	GMP.40	GMP.41	GMP.42	GMP.43	GMP.44	GMP.45	GMP.46	GMP.47	GMP.48	GMP.49	GMP.50
Kdm3a	0.825073691800591	0.983212587321725	0.730382501581066	0.0	0.953008607182362	0.743655904339326	0.0	0.0	0.0	6.71098100429411	4.63679253364396	3.43225134013704	6.38109546336035	0.0	0.0	5.83722910539051	7.23260010733174	1.13836980847833	0.612028177988144	0.800554765606753	0.980014077278177	0.0	5.30160426349352	0.782386900187965	2.51887748428014	0.797420952418527	0.0	6.70271284354078	4.06680167097586	7.18113590075211	5.3639640757318	2.91879035451771	0.0	2.06151190836723	0.691741001338206	8.45184290340584	7.11048022030032	7.8701027806464	8.88220589450083	0.0	0.0	4.85360512730597	1.92105525631768	6.00849120340569	6.50195479862483	4.24041259833741	1.07400064026488	1.30621023874047	0.0	1.277097763667
Coro2b	1.72895516002738	0.0	0.0	0.0	0.553805582751331	0.743655904339326	0.802781518971799	0.0	0.64478157905425	0.0	0.0	0.810186844231269	0.0	0.0	0.0	0.0	0.0	1.76665572175421	0.0	0.800554765606753	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.693987302944079	0.0	0.0	0.425933270541342	0.0	0.0	1.37134564754711	0.0	0.0	0.0	0.0	0.0	0.939208951009561	1.02226873608716	0.331643362319327	0.0	0.0	0.0	8.06292728865012	1.07400064026488	0.796145382855203	6.72659294554408	0.0
Phf6	1.34667388550121	2.55687396526502	8.28274634573502	4.79959359568146	7.90763508468236	5.79772633214785	5.97246935275604	4.44910028402568	2.13126526765824	7.77376094404049	4.56584088821472	5.90130629348764	1.64518739604046	0.545700334991473	6.64457502591659	1.64404795500156	3.01041625781293	2.53736705924927	5.26741790760575	0.800554765606753	3.66332365264363	7.43002970358188	2.48873466452755	7.75670493541375	2.51887748428014	1.68435836258827	7.63735947737328	7.09050321812217	7.29905528137944	7.49235274154903	2.25636281199389	7.57970377953045	2.33242274530725	7.29036474867647	1.79115818821749	2.03850279342305	4.13905010402093	9.24883125978604	8.3892730173055	5.90010603857728	1.02226873608716	8.52150814600072	4.54201014108128	3.36501528645799	1.53455060343941	8.19320836730753	3.29896704710049	6.57389398149037	5.29754957052938	7.7450116010218
Usp14	7.93110412396535	8.29500874092472	2.10279064619573	8.87461056482062	9.93519651976903	2.6770139583389	7.43438252979772	6.9898231434904	1.08882350253439	2.15044487801009	8.56327539895849	2.00495222173927	8.41647818844764	7.28474173440132	8.80847528182571	7.98307078909063	7.30950340804483	6.61922275080189	6.99196533475112	7.67938833611592	8.77040993554583	6.88688691281044	7.97517022551785	9.15790153007709	7.75673559840734	7.84409270376577	5.67002764734371	7.75473029141741	8.09621329389336	8.2084673706264	8.30662015959271	8.61669477893298	7.90179462478368	8.00296089380059	1.50878087466048	7.39065203310008	7.57971146358264	7.76693928268066	1.8128972077372	7.65112269558996	5.65802018947442	7.41833752530191	5.82629402537488	7.36095052648573	8.43961969721894	1.63507353557453	7.35291471229855	8.03179890669673	8.96954270930941	9.18788501291076
Tmem167b	4.99390171406177	5.97798447080889	3.68520239015396	0.0	0.0	0.0	0.0	1.03008946685305	0.0	0.0	1.76034424987457	6.22567933221451	7.58719129603159	0.0	0.0	0.684604713656068	0.0	1.13836980847833	0.0	1.31239887567389	0.980014077278177	1.33570910752137	6.36621314331606	6.272718646617	1.12620636388176	0.0	0.831817853864619	5.97211467678992	6.61640100138443	0.0	3.3607736674357	7.16167834086428	0.0	0.0	0.0	7.4431305261514	0.0	0.0	7.09515923591905	0.0	0.0	3.17181967751824	1.92105525631768	7.68418453397662	4.41903682515685	1.03774550821433	1.68280990126173	0.796145382855203	0.0	6.52520147472682
Kbtbd7	1.72895516002738	0.0	0.0	0.0	0.0	0.0	0.802781518971799	0.0	0.64478157905425	0.0	0.0	0.810186844231269	0.0	0.0	0.0	5.89725831607139	5.78427090748968	1.13836980847833	0.612028177988144	0.45510795650219	0.0	0.0	0.0	0.0	0.0	0.797420952418527	0.0	3.86695406626194	0.793224186443406	1.67069859337895	0.0	0.0	0.0	6.01088510433305	0.0	0.0	0.983736806886131	0.0	1.41988816250163	0.0	1.02226873608716	0.0	0.0	1.11296381374	0.559976732890676	0.0	0.0	0.0	1.59328488474161	5.24835449293451
Rag2	0.825073691800591	0.0	1.21297878169714	0.0	0.0	0.743655904339326	0.0	1.03008946685305	0.0	0.653770365763334	1.13349432641161	0.0	0.511545932906333	0.545700334991473	1.39164007188406	0.684604713656068	1.12189611731354	1.13836980847833	0.612028177988144	0.0	4.13193835788984	0.817211916805725	2.02688373027258	0.782386900187965	2.18539716476267	0.0	0.0	0.693987302944079	0.4504553604672	0.0	0.425933270541342	0.0	0.0	1.37134564754711	0.0	1.61923760013546	0.983736806886131	0.822800858894956	0.877998489585888	0.939208951009561	0.0	0.0	0.0	1.11296381374	0.962357180640882	2.05625427899824	0.0	0.796145382855203	0.0	0.0
Hmgcs1	0.0	0.0	0.0	1.31710373466391	6.84775247453777	1.23194053689991	6.03931664378067	1.03008946685305	0.0	0.0	0.0	0.810186844231269	0.27832795920953	1.25046826215613	6.84126554339688	0.0	5.47651591334438	0.0	7.67177490094769	1.07905797903752	5.13080582046511	3.54448114216006	7.6612649084752	6.8057570561103	6.96806996961214	0.797420952418527	7.11131415013321	5.80682960424492	0.4504553604672	0.0	6.75235040179353	0.0	5.97482906051595	2.06151190836723	7.26859025655928	0.0	0.406928819038451	6.80364660669772	7.57249702985162	0.939208951009561	6.58288964513656	0.0	3.22666245552425	0.0	0.0	0.0	5.9232493944021	7.37474405504582	2.81804633870552	5.72677941247733
Zfp947	0.0	0.983212587321725	0.0	1.31710373466391	1.52196090939155	0.0	0.0	0.0	0.0	0.653770365763334	0.0	0.0	0.27832795920953	0.545700334991473	0.0	0.684604713656068	0.0	1.13836980847833	7.96508816910017	1.07905797903752	1.55825260022284	0.0	0.0	0.782386900187965	0.0	0.0	0.0	0.0	0.4504553604672	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.84175597060185	0.0	0.0	4.9261520965843	2.05625427899824	0.0	1.68228845873032	0.0	4.8811844992789
Atad2	6.73758803918162	8.64050344710157	1.57397393196536	8.52919054241793	8.06212788820558	7.04996445182484	9.24021423954582	7.80075846564077	7.20467545390163	1.95098054935617	7.14852317943478	1.70501160268052	6.9088315278106	5.30805564016976	2.4503169414685	8.29481980148041	6.08853821636122	7.23998202142262	10.0037101214963	8.8861144625603	2.77292190489555	8.31284203330147	6.13325151263422	7.48247417497194	8.98656880847011	3.97817990440978	8.03064246174844	7.95117766086601	6.93430493385152	3.81784047976801	9.24024224087083	7.49477206111622	3.18158102561475	9.19634738060384	5.55895228338465	0.0	8.0335008285167	1.34350639868065	0.877998489585888	6.59122406804434	2.84532204690026	7.77393051139709	4.35818503078688	8.09644604842912	6.90160740602573	8.04578273718371	5.09414726331569	7.72537480357529	9.49020649997498	8.16553724286787
