	MEP.1	MEP.2	MEP.3	MEP.4	MEP.5	MEP.6	MEP.7	MEP.8	MEP.9	MEP.10	MEP.11	MEP.12	MEP.13	MEP.14	MEP.15	MEP.16	MEP.17	MEP.18	MEP.19	MEP.20	MEP.21	MEP.22	MEP.23	MEP.24	MEP.25	MEP.26	MEP.27	MEP.28	MEP.29	MEP.30	MEP.31	MEP.32	MEP.33	MEP.34	MEP.35	MEP.36	MEP.37	MEP.38	MEP.39	MEP.40	MEP.41	MEP.42	MEP.43	MEP.44	MEP.45	MEP.46	MEP.47	MEP.48	MEP.49	MEP.50
Kdm3a	1.73998390515806	8.15998334169093	1.39134453143144	7.46005793625983	7.29183730341594	1.15952539537348	0.0	0.0	0.0	2.24488236362665	0.926517836479793	7.44887023662356	1.35810182440135	6.52629772898929	1.26206226688348	7.25614876616327	0.0	1.12187688292588	1.23235618902029	0.890207491621803	0.783496307686638	0.758250205119562	2.14053365570608	2.13734355867661	0.0	7.66903515553132	3.70902460861939	3.74519410858048	3.80827537766836	7.41914865231837	8.82985753385507	6.62326251973944	0.0	1.64136491496354	0.952273439194551	4.94603043430983	0.0	6.20269622877889	7.4979181250232	7.31731498891103	0.0	0.559458523052089	3.57230227545497	7.34579992575323	6.6913513029763	0.0	6.45379875897229	1.09617286156514	6.63353162771958	4.08167445465675
Coro2b	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.51091320365075	0.0	0.0	0.0	0.0	0.0	0.0	0.265058522796752	0.0	0.0	0.0	0.0	0.0	0.758250205119562	0.0	0.0	1.36107039534917	0.0	1.44645197867883	0.0	0.0	0.0	0.0	1.00061168584868	0.0	0.0	0.0	0.0	0.0	0.0	0.898574153516471	0.0	0.0	0.0	1.0631685229994	0.450588387965346	0.0	0.985733581736737	0.0	1.09617286156514	0.612045052945247	0.0
Phf6	6.71622259686725	3.91595150622396	6.1121929574711	9.02184002774968	1.74805383042978	8.1474552592837	4.27994823937101	8.28683328805741	9.0331645350356	3.53563283530803	7.47925097753099	6.10940327429133	1.20345007953161	7.58932997204126	2.3771654102131	7.66165776116379	3.15443324313626	7.2381958880422	8.40822565803296	2.96855922774143	5.70631253014467	1.62026437481744	5.76584238389503	4.16972948616608	7.39965812853669	7.88768465459424	2.15404506970566	1.9098454760789	7.9580892896213	8.27309433280473	8.17443460790132	9.49807519767486	1.06069379993623	1.04250718511298	7.41126016663299	8.02680654546621	5.79180828458749	8.98837194090506	5.08067725728241	2.49420753666972	8.89535536487541	6.55225924098458	2.09374498719985	7.83704155765604	4.53246397437098	1.5659090861475	6.42408797607668	2.1419573139368	8.62645552976613	6.89141012766196
Usp14	8.90918642384417	8.67856716271134	8.46450898899726	8.2937163000741	8.00758932712925	8.65546491986426	7.69420417495093	9.42751927041739	8.66140635266275	9.24452043081529	8.58755589983491	9.40998501747204	8.11078338547705	9.23016389150863	2.3771654102131	8.17998028234058	7.97698226510467	6.69122742540931	8.64386820929791	5.86246773124628	5.80267392084073	2.7074150494155	8.65364558981573	4.52962289191873	8.77186720703725	9.12438361493524	8.75026170120314	8.70532468253344	2.90774970577887	4.4978108972772	7.8929607199804	9.7644340723756	8.18460011166282	6.19114182339465	10.1002160665304	9.49120262015006	6.92767095843644	8.38308947526932	0.898574153516471	3.3601359408688	8.50309317462514	3.51371204210613	8.15665735483548	10.0339309453814	10.2988301753103	8.35511567960282	8.37307235242198	8.57813044653163	8.33454310701989	8.0724674719992
Tmem167b	2.17327829085721	0.0	0.0	0.0	8.6024047822452	1.15952539537348	1.2417914337173	0.669680256525218	0.692993620069485	0.0	7.75664441983319	7.78601591097027	0.334087062597004	7.15358621452895	0.0	0.0	1.57335930534259	6.40117374888557	0.53588837161403	2.39703989865437	0.239183335405525	1.25270374980835	4.12747210130012	2.60863616492441	6.47330619592965	0.0	0.0	0.0	7.05626622071274	1.28660948801519	0.0	4.72909743065755	1.06069379993623	0.0	0.0	6.45286540147475	0.0	0.0	4.12269175036731	0.0	0.0	0.0	1.0631685229994	0.450588387965346	1.98269772310327	0.985733581736737	0.920957881272264	1.71181919971158	0.0	0.914646549532655
Kbtbd7	6.76360362420328	7.10062952279565	0.0	0.0	0.0	3.0709106173969	0.750572242484882	0.669680256525218	0.0	0.0	7.44237219788292	7.6424446036573	0.605170886844759	0.0	0.0	0.488895005247506	0.0	0.667346796438756	0.0	2.39703989865437	0.623841567814932	0.0	1.43542888363066	0.0	0.0	0.0	1.44645197867883	0.0	0.0	0.365029672476707	0.649822900537709	0.585370320101992	1.06069379993623	0.0	2.72454466091491	0.0	1.21836199616517	0.0	3.89020949305106	0.946234883999621	1.06110822751501	0.559458523052089	0.0	0.0	0.577298206453727	1.5659090861475	0.0	0.0	0.0	0.0
Rag2	0.0	0.0	0.0	0.0	0.0	0.0	1.2417914337173	1.12528129353233	0.0	0.0	0.0	0.0	0.605170886844759	0.0	0.0	0.488895005247506	1.57335930534259	0.667346796438756	0.53588837161403	0.0	0.239183335405525	0.758250205119562	0.0	3.48523829503872	3.38025037292595	0.418366921584183	0.0	0.0	1.00049570291632	0.0	0.0	0.0	4.75821927123046	0.0	0.952273439194551	0.781297129754005	1.21836199616517	0.0	1.44807909018325	0.946234883999621	0.786057492270879	0.559458523052089	2.09374498719985	0.0	0.577298206453727	0.0	0.0	0.0	0.612045052945247	0.914646549532655
Hmgcs1	1.11779955537274	1.62670767955894	2.08626093891368	7.75718330614318	8.55944853685372	1.15952539537348	0.750572242484882	7.44361552588582	2.02969067403952	7.28156870781694	1.88832383702571	0.464797007839454	0.0	0.0	0.0	6.84741562685905	0.0	5.37789837555776	6.60384313517887	3.78676780901838	8.22001303321177	2.54598448955	3.06810511351334	2.96329364927602	2.04876416265555	7.64013079220933	2.15404506970566	3.58865515663772	1.58562340010101	6.69742908949382	0.649822900537709	0.0	0.0	5.47417548593538	0.952273439194551	6.53342503561799	3.53786642019288	5.91018467974422	0.0	0.946234883999621	0.786057492270879	6.79929232779813	0.0	1.07024675955926	0.0	0.0	6.43901984895306	1.09617286156514	0.612045052945247	2.43976564063748
Zfp947	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.47101111800685	0.0	0.0	0.926517836479793	0.0	0.0	0.0	0.0	0.0	0.0	7.95432906892	6.38058644157519	0.0	4.85550493665737	1.25270374980835	0.649117408035887	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.71189234467675	0.0	0.0	1.04250718511298	0.0	0.0	0.0	0.0	2.15603751115155	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Atad2	9.92862318063194	5.7048119878526	8.85680106856726	2.17041494416239	8.62700392207029	9.02018130806516	1.60756947250654	8.96624217992292	8.10862390759734	8.83594444570953	7.44982375640739	8.8767378435324	9.06811016704991	7.85327698657963	2.72105178753753	9.62348064010573	2.30799301970087	5.82970269088001	5.97904628940164	8.07593069357882	8.22349876208464	5.03589408661764	1.0951933035935	4.52962289191873	7.9409072051256	6.97895042753463	2.62669828021032	3.2130463442057	9.31500638268326	7.32125420993402	9.60614348147184	8.78258004735857	1.66533311335396	1.04250718511298	9.00638422515795	3.64371850189548	7.09102309547116	9.02158332570644	1.44807909018325	2.71392117787953	9.06494368895498	7.48093959249979	3.2803810095506	8.34135866032611	7.17671473085722	7.65796579009699	7.37741719930707	1.09617286156514	9.2743929998685	7.58633804203679
Bhlhb9	0.0	1.35955269455792	0.0	1.11581642625462	0.837015126728841	0.0	9.98842634737481	1.12528129353233	7.02783152259077	0.698956986510831	0.0	5.63388927211707	7.52094236313765	0.0	1.63113921857795	0.0	0.0	8.95484172482175	7.73384319498863	0.890207491621803	0.444294584134292	1.62026437481744	8.37865804781542	2.96329364927602	1.36107039534917	1.42334669252279	0.0	2.36079484234799	6.37601872837213	0.89818850061877	8.02172339582047	7.64507318925073	0.0	3.24464862566695	0.0	0.0	0.0	8.48185009553451	8.03814781457361	1.91858178957734	0.0	0.961572944047083	1.0631685229994	0.450588387965346	6.6424493539453	0.985733581736737	0.920957881272264	1.09617286156514	7.25415711523912	1.46999761345584
Vcam1	1.11779955537274	0.0	0.0	0.663197111593721	0.0	0.0	0.0	0.0	1.51091320365075	0.698956986510831	0.0	0.815777312783049	0.0	0.6572325959489	1.63113921857795	0.0	0.0	0.667346796438756	0.53588837161403	0.890207491621803	0.0	0.0	0.649117408035887	2.13734355867661	0.0	0.0	0.0	0.0	1.00049570291632	0.656099304823085	0.0	0.0	0.0	0.0	0.0	0.442903931711657	0.0	1.4274093096839	0.0	1.51282100717807	0.0	0.559458523052089	0.0	0.0	0.577298206453727	0.985733581736737	0.0	2.1419573139368	0.612045052945247	0.914646549532655
Mns1	9.43336166884732	9.21308286011384	8.63324308686166	8.58871821640692	9.92385697510266	9.93398670967949	5.96396889907782	9.35908980979774	9.42741251161511	9.24822210241215	8.09754184754566	9.50663554554401	9.85576900442989	9.81015840856494	1.9247713446545	8.52776923154608	3.44358583433801	9.6995155470287	8.83220276335211	8.04363072425557	9.64453724084366	3.10531213369258	7.99429239463024	8.05616052175478	8.4416797021658	9.12177235819964	7.78215926686219	7.50484755596645	8.88820975833339	9.49857294125008	9.31926934811847	9.76526392367681	2.09010928657547	9.84857572400109	9.57369330068666	9.95322850752251	9.35269968294789	9.35510428820367	0.0	2.71392117787953	9.89274081995002	8.8851506986244	1.66858716687546	8.97299521447075	9.55999702389981	0.985733581736737	9.57562679623254	7.29359058071896	8.84114099221297	9.2958630184169
Tbc1d5	7.84034146346076	0.0	8.87686557146926	1.11581642625462	7.83450439493398	5.54386868492213	0.0	5.74346417180318	0.0	0.698956986510831	7.67634025418261	3.49356088939508	6.20871719440344	3.27139860015904	0.0	3.04625576261214	2.79241931484846	7.57276966946566	0.53588837161403	3.25314619398636	5.18362816479412	1.25270374980835	2.74029838957702	2.60863616492441	4.79019172880285	7.25794496094989	1.44645197867883	0.0	5.70141189790986	2.33076307442661	6.59377053120977	0.585370320101992	1.06069379993623	7.23297140379667	7.14198350122308	6.2768490079836	2.93246172128986	0.0	0.898574153516471	1.51282100717807	0.786057492270879	3.17842334701582	0.0	4.7564053900014	5.82277912722389	1.5659090861475	5.9273257805633	6.84281309235158	7.25415711523912	1.46999761345584
